"filename", "language", "vue", "JavaScript", "XML", "comment", "blank", "total"
"e:\Mysite\Mysite-Frontend\src\App.vue", "vue", 10, 0, 0, 0, 3, 13
"e:\Mysite\Mysite-Frontend\src\api\admin.js", "JavaScript", 0, 59, 0, 0, 7, 66
"e:\Mysite\Mysite-Frontend\src\api\ai.js", "JavaScript", 0, 13, 0, 0, 1, 14
"e:\Mysite\Mysite-Frontend\src\api\article.js", "JavaScript", 0, 102, 0, 0, 10, 112
"e:\Mysite\Mysite-Frontend\src\api\category.js", "JavaScript", 0, 39, 0, 1, 4, 44
"e:\Mysite\Mysite-Frontend\src\api\community.js", "JavaScript", 0, 30, 0, 1, 3, 34
"e:\Mysite\Mysite-Frontend\src\api\oss.js", "JavaScript", 0, 37, 0, 0, 5, 42
"e:\Mysite\Mysite-Frontend\src\api\user.js", "JavaScript", 0, 50, 0, 1, 5, 56
"e:\Mysite\Mysite-Frontend\src\assets\vue.svg", "XML", 0, 0, 1, 0, 0, 1
"e:\Mysite\Mysite-Frontend\src\components\ArticleCard.vue", "vue", 91, 0, 0, 0, 13, 104
"e:\Mysite\Mysite-Frontend\src\components\CategoryCard.vue", "vue", 112, 0, 0, 0, 16, 128
"e:\Mysite\Mysite-Frontend\src\components\LeftMenu.vue", "vue", 145, 0, 0, 3, 23, 171
"e:\Mysite\Mysite-Frontend\src\main.js", "JavaScript", 0, 15, 0, 0, 2, 17
"e:\Mysite\Mysite-Frontend\src\router\index.js", "JavaScript", 0, 174, 0, 5, 5, 184
"e:\Mysite\Mysite-Frontend\src\store\chat.js", "JavaScript", 0, 73, 0, 9, 10, 92
"e:\Mysite\Mysite-Frontend\src\store\token.js", "JavaScript", 0, 22, 0, 0, 1, 23
"e:\Mysite\Mysite-Frontend\src\store\userInfo.js", "JavaScript", 0, 22, 0, 0, 1, 23
"e:\Mysite\Mysite-Frontend\src\utils\markdown.js", "JavaScript", 0, 32, 0, 1, 3, 36
"e:\Mysite\Mysite-Frontend\src\utils\request.js", "JavaScript", 0, 50, 0, 5, 5, 60
"e:\Mysite\Mysite-Frontend\src\views\Announcement.vue", "vue", 101, 0, 0, 0, 9, 110
"e:\Mysite\Mysite-Frontend\src\views\Community.vue", "vue", 201, 0, 0, 0, 15, 216
"e:\Mysite\Mysite-Frontend\src\views\Home.vue", "vue", 242, 0, 0, 2, 26, 270
"e:\Mysite\Mysite-Frontend\src\views\Login.vue", "vue", 239, 0, 0, 0, 23, 262
"e:\Mysite\Mysite-Frontend\src\views\Profile.vue", "vue", 528, 0, 0, 2, 59, 589
"e:\Mysite\Mysite-Frontend\src\views\admin\ArticleListManager.vue", "vue", 254, 0, 0, 1, 18, 273
"e:\Mysite\Mysite-Frontend\src\views\admin\ArticleManager.vue", "vue", 389, 0, 0, 0, 49, 438
"e:\Mysite\Mysite-Frontend\src\views\ai\Chat.vue", "vue", 638, 0, 0, 6, 107, 751
"e:\Mysite\Mysite-Frontend\src\views\article\Article.vue", "vue", 390, 0, 0, 0, 50, 440
"e:\Mysite\Mysite-Frontend\src\views\article\ArticleCategory.vue", "vue", 353, 0, 0, 2, 31, 386
"e:\Mysite\Mysite-Frontend\src\views\article\ArticleList.vue", "vue", 584, 0, 0, 3, 78, 665
"e:\Mysite\Mysite-Frontend\src\views\article\SaveArticle.vue", "vue", 237, 0, 0, 0, 28, 265
"e:\Mysite\Mysite-Frontend\src\views\default\NotFound.vue", "vue", 88, 0, 0, 0, 14, 102
"Total", "-", 4602, 718, 1, 42, 624, 5987
